p,q,distribution,aic,bic,loglik
1,1,student_t,11102.819464839835,11128.339456648788,-5547.409732419917
2,1,student_t,11103.051524564926,11134.951514326118,-5546.525762282463
2,2,student_t,11103.832993908338,11142.112981621769,-5545.916496954169
1,2,student_t,11104.819465332566,11136.719455093758,-5547.409732666283
3,1,student_t,11105.051524434068,11143.331512147499,-5546.525762217034
2,3,student_t,11105.824165840464,11150.484151506133,-5545.912082920232
3,2,student_t,11105.83299385755,11150.492979523218,-5545.916496928775
1,3,student_t,11106.81946488006,11145.099452593491,-5547.40973244003
4,1,student_t,11107.05152453331,11151.711510198978,-5546.525762266655
2,4,student_t,11107.499786872891,11158.5397704908,-5545.749893436446
3,3,student_t,11107.808369888206,11158.848353506113,-5545.904184944103
4,2,student_t,11107.832994219994,11158.872977837902,-5545.916497109997
2,5,student_t,11108.238955942583,11165.658937512728,-5545.119477971291
1,4,student_t,11108.819464842643,11153.479450508312,-5547.409732421322
5,1,student_t,11109.05152443497,11160.091508052878,-5546.525762217485
3,4,student_t,11109.577392686337,11166.997374256482,-5545.788696343168
4,4,student_t,11109.746121441625,11173.54610096401,-5544.873060720813
4,3,student_t,11109.808369852262,11167.228351422407,-5545.904184926131
5,2,student_t,11109.83299405414,11167.252975624286,-5545.91649702707
3,5,student_t,11110.257174174712,11174.057153697097,-5545.128587087356
1,5,student_t,11110.62838107962,11161.668364697527,-5547.31419053981
4,5,student_t,11111.689770854704,11181.869748329325,-5544.844885427352
5,4,student_t,11111.746121386032,11181.926098860655,-5544.873060693016
5,3,student_t,11111.808370549874,11175.608350072258,-5545.904185274937
5,5,student_t,11112.623970890469,11189.18394631733,-5544.311985445234
4,5,normal,11340.992703768894,11404.792683291278,-5660.496351884447
2,2,normal,11341.16778676831,11373.067776529502,-5665.583893384155
4,3,normal,11341.654139950533,11392.69412356844,-5662.827069975267
2,1,normal,11342.562353118956,11368.082344927909,-5667.281176559478
1,1,normal,11342.674131151925,11361.814125008641,-5668.337065575963
2,3,normal,11342.80568413704,11381.085671850471,-5665.40284206852
5,5,normal,11342.992703547468,11413.17268102209,-5660.496351773734
3,2,normal,11343.16778731684,11381.44777503027,-5665.58389365842
5,3,normal,11343.654139660832,11401.074121230977,-5662.827069830416
4,4,normal,11343.65414011784,11401.074121687985,-5662.82707005892
3,1,normal,11344.562352988341,11376.462342749533,-5667.281176494171
3,3,normal,11344.599819203486,11389.259804869154,-5665.299909601743
1,2,normal,11344.674131167472,11370.194122976425,-5668.337065583736
2,4,normal,11344.805684503859,11389.465670169528,-5665.4028422519295
4,2,normal,11345.09932563953,11389.759311305199,-5665.549662819765
5,4,normal,11345.654139969152,11409.454119491536,-5662.827069984576
2,5,normal,11346.152972171381,11397.192955789289,-5665.076486085691
4,1,normal,11346.562353405589,11384.84234111902,-5667.281176702794
3,4,normal,11346.599818431685,11397.639802049593,-5665.2999092158425
1,3,normal,11346.674131127314,11378.574120888507,-5668.337065563657
5,2,normal,11347.09932531134,11398.139308929247,-5665.54966265567
3,5,normal,11348.138014136557,11405.557995706702,-5665.069007068279
5,1,normal,11348.562353250549,11393.222338916217,-5667.281176625274
1,4,normal,11348.674131161697,11386.954118875128,-5668.3370655808485
1,5,normal,11350.57547755213,11395.2354632178,-5668.287738776065
