,Date,NFCI
0,2005-01-07,-0.69875
1,2005-01-14,-0.69922
2,2005-01-21,-0.70173
3,2005-01-28,-0.70632
4,2005-02-04,-0.71182
5,2005-02-11,-0.71578
6,2005-02-18,-0.71656
7,2005-02-25,-0.71376
8,2005-03-04,-0.70674
9,2005-03-11,-0.6964
10,2005-03-18,-0.68302
11,2005-03-25,-0.66851
12,2005-04-01,-0.65409
13,2005-04-08,-0.64075
14,2005-04-15,-0.62901
15,2005-04-22,-0.61949
16,2005-04-29,-0.61238
17,2005-05-06,-0.60718
18,2005-05-13,-0.60353
19,2005-05-20,-0.60191
20,2005-05-27,-0.60229
21,2005-06-03,-0.60302
22,2005-06-10,-0.60448
23,2005-06-17,-0.60568
24,2005-06-24,-0.60722
25,2005-07-01,-0.60912
26,2005-07-08,-0.61063
27,2005-07-15,-0.61355
28,2005-07-22,-0.6155
29,2005-07-29,-0.61658
30,2005-08-05,-0.61552
31,2005-08-12,-0.61299
32,2005-08-19,-0.60791
33,2005-08-26,-0.60124
34,2005-09-02,-0.59335
35,2005-09-09,-0.5855
36,2005-09-16,-0.57805
37,2005-09-23,-0.57215
38,2005-09-30,-0.56903
39,2005-10-07,-0.56977
40,2005-10-14,-0.57391
41,2005-10-21,-0.57982
42,2005-10-28,-0.5861
43,2005-11-04,-0.59018
44,2005-11-11,-0.59173
45,2005-11-18,-0.5892
46,2005-11-25,-0.58425
47,2005-12-02,-0.5776
48,2005-12-09,-0.57104
49,2005-12-16,-0.56609
50,2005-12-23,-0.56457
51,2005-12-30,-0.56624
52,2006-01-06,-0.57238
53,2006-01-13,-0.58216
54,2006-01-20,-0.59279
55,2006-01-27,-0.60495
56,2006-02-03,-0.61574
57,2006-02-10,-0.62431
58,2006-02-17,-0.63089
59,2006-02-24,-0.63501
60,2006-03-03,-0.6362
61,2006-03-10,-0.63575
62,2006-03-17,-0.63442
63,2006-03-24,-0.63286
64,2006-03-31,-0.63031
65,2006-04-07,-0.62814
66,2006-04-14,-0.62579
67,2006-04-21,-0.62399
68,2006-04-28,-0.62121
69,2006-05-05,-0.61595
70,2006-05-12,-0.60861
71,2006-05-19,-0.59718
72,2006-05-26,-0.58373
73,2006-06-02,-0.56941
74,2006-06-09,-0.55561
75,2006-06-16,-0.5431
76,2006-06-23,-0.53414
77,2006-06-30,-0.53003
78,2006-07-07,-0.53065
79,2006-07-14,-0.53647
80,2006-07-21,-0.54667
81,2006-07-28,-0.56029
82,2006-08-04,-0.57453
83,2006-08-11,-0.58776
84,2006-08-18,-0.59831
85,2006-08-25,-0.60518
86,2006-09-01,-0.60807
87,2006-09-08,-0.60809
88,2006-09-15,-0.60693
89,2006-09-22,-0.60631
90,2006-09-29,-0.60732
91,2006-10-06,-0.61084
92,2006-10-13,-0.61693
93,2006-10-20,-0.62353
94,2006-10-27,-0.62985
95,2006-11-03,-0.63355
96,2006-11-10,-0.63478
97,2006-11-17,-0.63329
98,2006-11-24,-0.62972
99,2006-12-01,-0.62542
100,2006-12-08,-0.62262
101,2006-12-15,-0.62319
102,2006-12-22,-0.62772
103,2006-12-29,-0.63616
104,2007-01-05,-0.64798
105,2007-01-12,-0.66109
106,2007-01-19,-0.67342
107,2007-01-26,-0.68285
108,2007-02-02,-0.68658
109,2007-02-09,-0.68505
110,2007-02-16,-0.67723
111,2007-02-23,-0.66462
112,2007-03-02,-0.64883
113,2007-03-09,-0.6343
114,2007-03-16,-0.62212
115,2007-03-23,-0.61383
116,2007-03-30,-0.60798
117,2007-04-06,-0.60423
118,2007-04-13,-0.60059
119,2007-04-20,-0.59614
120,2007-04-27,-0.58956
121,2007-05-04,-0.58074
122,2007-05-11,-0.57217
123,2007-05-18,-0.56316
124,2007-05-25,-0.55459
125,2007-06-01,-0.54811
126,2007-06-08,-0.54501
127,2007-06-15,-0.54126
128,2007-06-22,-0.5359
129,2007-06-29,-0.5239
130,2007-07-06,-0.49935
131,2007-07-13,-0.45492
132,2007-07-20,-0.38671
133,2007-07-27,-0.29287
134,2007-08-03,-0.18058
135,2007-08-10,-0.05975
136,2007-08-17,0.0591
137,2007-08-24,0.1544
138,2007-08-31,0.20661
139,2007-09-07,0.22259
140,2007-09-14,0.19858
141,2007-09-21,0.14135
142,2007-09-28,0.07565
143,2007-10-05,0.01467
144,2007-10-12,-0.02584
145,2007-10-19,-0.03265
146,2007-10-26,-0.00183
147,2007-11-02,0.06522
148,2007-11-09,0.16351
149,2007-11-16,0.27468
150,2007-11-23,0.38751
151,2007-11-30,0.48115
152,2007-12-07,0.54422
153,2007-12-14,0.57069
154,2007-12-21,0.55998
155,2007-12-28,0.52018
156,2008-01-04,0.47247
157,2008-01-11,0.42796
158,2008-01-18,0.4048
159,2008-01-25,0.41285
160,2008-02-01,0.4431
161,2008-02-08,0.50491
162,2008-02-15,0.58991
163,2008-02-22,0.68918
164,2008-02-29,0.78933
165,2008-03-07,0.88072
166,2008-03-14,0.9414
167,2008-03-21,0.96502
168,2008-03-28,0.94339
169,2008-04-04,0.88927
170,2008-04-11,0.8145
171,2008-04-18,0.73145
172,2008-04-25,0.64553
173,2008-05-02,0.5703
174,2008-05-09,0.51578
175,2008-05-16,0.48336
176,2008-05-23,0.47857
177,2008-05-30,0.50003
178,2008-06-06,0.54607
179,2008-06-13,0.60047
180,2008-06-20,0.6575
181,2008-06-27,0.71023
182,2008-07-04,0.743
183,2008-07-11,0.75226
184,2008-07-18,0.74257
185,2008-07-25,0.71421
186,2008-08-01,0.68333
187,2008-08-08,0.66734
188,2008-08-15,0.67446
189,2008-08-22,0.72956
190,2008-08-29,0.83666
191,2008-09-05,1.00332
192,2008-09-12,1.22378
193,2008-09-19,1.50751
194,2008-09-26,1.78895
195,2008-10-03,2.06944
196,2008-10-10,2.32035
197,2008-10-17,2.51434
198,2008-10-24,2.65403
199,2008-10-31,2.77286
200,2008-11-07,2.86389
201,2008-11-14,2.9439
202,2008-11-21,3.02113
203,2008-11-28,3.04873
204,2008-12-05,3.0426
205,2008-12-12,2.9781
206,2008-12-19,2.85346
207,2008-12-26,2.69372
208,2009-01-02,2.54111
209,2009-01-09,2.38939
210,2009-01-16,2.26684
211,2009-01-23,2.17791
212,2009-01-30,2.11923
213,2009-02-06,2.08988
214,2009-02-13,2.09151
215,2009-02-20,2.10948
216,2009-02-27,2.12706
217,2009-03-06,2.13235
218,2009-03-13,2.09559
219,2009-03-20,2.02333
220,2009-03-27,1.91813
221,2009-04-03,1.79362
222,2009-04-10,1.65358
223,2009-04-17,1.51201
224,2009-04-24,1.37322
225,2009-05-01,1.23824
226,2009-05-08,1.11423
227,2009-05-15,1.0127
228,2009-05-22,0.92847
229,2009-05-29,0.86915
230,2009-06-05,0.82208
231,2009-06-12,0.7866
232,2009-06-19,0.75676
233,2009-06-26,0.72013
234,2009-07-03,0.67476
235,2009-07-10,0.61955
236,2009-07-17,0.55262
237,2009-07-24,0.48081
238,2009-07-31,0.41197
239,2009-08-07,0.35213
240,2009-08-14,0.3034
241,2009-08-21,0.26306
242,2009-08-28,0.22654
243,2009-09-04,0.19431
244,2009-09-11,0.16101
245,2009-09-18,0.12788
246,2009-09-25,0.09877
247,2009-10-02,0.07658
248,2009-10-09,0.05592
249,2009-10-16,0.03911
250,2009-10-23,0.02608
251,2009-10-30,0.01837
252,2009-11-06,0.00952
253,2009-11-13,-0.00237
254,2009-11-20,-0.01647
255,2009-11-27,-0.03529
256,2009-12-04,-0.06028
257,2009-12-11,-0.09169
258,2009-12-18,-0.12482
259,2009-12-25,-0.15609
260,2010-01-01,-0.18147
261,2010-01-08,-0.2018
262,2010-01-15,-0.21102
263,2010-01-22,-0.20919
264,2010-01-29,-0.20439
265,2010-02-05,-0.20011
266,2010-02-12,-0.20298
267,2010-02-19,-0.22001
268,2010-02-26,-0.24888
269,2010-03-05,-0.28897
270,2010-03-12,-0.33547
271,2010-03-19,-0.38136
272,2010-03-26,-0.4223
273,2010-04-02,-0.45079
274,2010-04-09,-0.46259
275,2010-04-16,-0.4513
276,2010-04-23,-0.41546
277,2010-04-30,-0.35589
278,2010-05-07,-0.27831
279,2010-05-14,-0.20128
280,2010-05-21,-0.12764
281,2010-05-28,-0.07288
282,2010-06-04,-0.04192
283,2010-06-11,-0.03309
284,2010-06-18,-0.04804
285,2010-06-25,-0.07571
286,2010-07-02,-0.11041
287,2010-07-09,-0.1524
288,2010-07-16,-0.193
289,2010-07-23,-0.22645
290,2010-07-30,-0.25107
291,2010-08-06,-0.26537
292,2010-08-13,-0.27011
293,2010-08-20,-0.27129
294,2010-08-27,-0.27331
295,2010-09-03,-0.28058
296,2010-09-10,-0.29543
297,2010-09-17,-0.31481
298,2010-09-24,-0.33683
299,2010-10-01,-0.36099
300,2010-10-08,-0.38486
301,2010-10-15,-0.40672
302,2010-10-22,-0.42435
303,2010-10-29,-0.43817
304,2010-11-05,-0.44736
305,2010-11-12,-0.45069
306,2010-11-19,-0.45277
307,2010-11-26,-0.45523
308,2010-12-03,-0.46116
309,2010-12-10,-0.47311
310,2010-12-17,-0.48857
311,2010-12-24,-0.5081
312,2010-12-31,-0.52933
313,2011-01-07,-0.55098
314,2011-01-14,-0.57125
315,2011-01-21,-0.58864
316,2011-01-28,-0.60067
317,2011-02-04,-0.60561
318,2011-02-11,-0.60388
319,2011-02-18,-0.59428
320,2011-02-25,-0.57901
321,2011-03-04,-0.5651
322,2011-03-11,-0.55432
323,2011-03-18,-0.54866
324,2011-03-25,-0.55355
325,2011-04-01,-0.56432
326,2011-04-08,-0.57871
327,2011-04-15,-0.59213
328,2011-04-22,-0.60163
329,2011-04-29,-0.60526
330,2011-05-06,-0.60193
331,2011-05-13,-0.59238
332,2011-05-20,-0.57981
333,2011-05-27,-0.56579
334,2011-06-03,-0.55224
335,2011-06-10,-0.53976
336,2011-06-17,-0.53086
337,2011-06-24,-0.52382
338,2011-07-01,-0.51697
339,2011-07-08,-0.50503
340,2011-07-15,-0.48256
341,2011-07-22,-0.44803
342,2011-07-29,-0.39854
343,2011-08-05,-0.33386
344,2011-08-12,-0.26145
345,2011-08-19,-0.19746
346,2011-08-26,-0.13867
347,2011-09-02,-0.0959
