,Date,STLFSI4
0,2005-01-07,-0.7361
1,2005-01-14,-0.7092
2,2005-01-21,-0.7221
3,2005-01-28,-0.7915
4,2005-02-04,-0.8903
5,2005-02-11,-0.8549
6,2005-02-18,-0.9505
7,2005-02-25,-0.9609
8,2005-03-04,-0.9355
9,2005-03-11,-0.9519
10,2005-03-18,-0.7879
11,2005-03-25,-0.7341
12,2005-04-01,-0.7147
13,2005-04-08,-0.7346
14,2005-04-15,-0.6871
15,2005-04-22,-0.6173
16,2005-04-29,-0.7581
17,2005-05-06,-0.768
18,2005-05-13,-0.6111
19,2005-05-20,-0.5208
20,2005-05-27,-0.804
21,2005-06-03,-0.711
22,2005-06-10,-0.6978
23,2005-06-17,-0.7884
24,2005-06-24,-0.6852
25,2005-07-01,-0.7974
26,2005-07-08,-0.7316
27,2005-07-15,-0.899
28,2005-07-22,-0.8455
29,2005-07-29,-0.9354
30,2005-08-05,-0.9173
31,2005-08-12,-0.8871
32,2005-08-19,-0.8178
33,2005-08-26,-0.8225
34,2005-09-02,-0.6532
35,2005-09-09,-0.8363
36,2005-09-16,-0.8436
37,2005-09-23,-0.7878
38,2005-09-30,-0.8471
39,2005-10-07,-0.7103
40,2005-10-14,-0.5756
41,2005-10-21,-0.8353
42,2005-10-28,-0.8696
43,2005-11-04,-0.9054
44,2005-11-11,-0.8395
45,2005-11-18,-0.7331
46,2005-11-25,-0.7824
47,2005-12-02,-0.7195
48,2005-12-09,-0.7121
49,2005-12-16,-0.7336
50,2005-12-23,-0.6981
51,2005-12-30,-0.6585
52,2006-01-06,-0.8501
53,2006-01-13,-0.9958
54,2006-01-20,-0.8334
55,2006-01-27,-0.9973
56,2006-02-03,-1.0565
57,2006-02-10,-0.933
58,2006-02-17,-1.0317
59,2006-02-24,-1.1171
60,2006-03-03,-1.0762
61,2006-03-10,-0.9628
62,2006-03-17,-1.0211
63,2006-03-24,-1.0579
64,2006-03-31,-1.0448
65,2006-04-07,-1.0209
66,2006-04-14,-0.952
67,2006-04-21,-1.0408
68,2006-04-28,-1.0983
69,2006-05-05,-1.1048
70,2006-05-12,-1.1139
71,2006-05-19,-0.8861
72,2006-05-26,-0.7939
73,2006-06-02,-0.9227
74,2006-06-09,-0.804
75,2006-06-16,-0.7324
76,2006-06-23,-0.8026
77,2006-06-30,-0.8582
