,Date,T10Y3M
0,2005-01-03,1.91
1,2005-01-04,1.96
2,2005-01-05,1.96
3,2005-01-06,1.98
4,2005-01-07,1.97
5,2005-01-10,1.93
6,2005-01-11,1.92
7,2005-01-12,1.91
8,2005-01-13,1.85
9,2005-01-14,1.86
10,2005-01-17,
11,2005-01-18,1.82
12,2005-01-19,1.83
13,2005-01-20,1.82
14,2005-01-21,1.8
15,2005-01-24,1.77
16,2005-01-25,1.81
17,2005-01-26,1.8
18,2005-01-27,1.78
19,2005-01-28,1.7
20,2005-01-31,1.63
21,2005-02-01,1.64
22,2005-02-02,1.64
23,2005-02-03,1.7
24,2005-02-04,1.62
25,2005-02-07,1.56
26,2005-02-08,1.56
27,2005-02-09,1.49
28,2005-02-10,1.56
29,2005-02-11,1.55
30,2005-02-14,1.49
31,2005-02-15,1.51
32,2005-02-16,1.59
33,2005-02-17,1.61
34,2005-02-18,1.66
35,2005-02-21,
36,2005-02-22,1.62
37,2005-02-23,1.6
38,2005-02-24,1.6
39,2005-02-25,1.53
40,2005-02-28,1.6
41,2005-03-01,1.63
42,2005-03-02,1.64
43,2005-03-03,1.63
44,2005-03-04,1.56
45,2005-03-07,1.55
46,2005-03-08,1.63
47,2005-03-09,1.76
48,2005-03-10,1.73
49,2005-03-11,1.8
50,2005-03-14,1.72
51,2005-03-15,1.73
52,2005-03-16,1.72
53,2005-03-17,1.68
54,2005-03-18,1.7
55,2005-03-21,1.68
56,2005-03-22,1.74
57,2005-03-23,1.78
58,2005-03-24,1.76
59,2005-03-25,
60,2005-03-28,1.8
61,2005-03-29,1.76
62,2005-03-30,1.73
63,2005-03-31,1.71
64,2005-04-01,1.66
65,2005-04-04,1.67
66,2005-04-05,1.69
67,2005-04-06,1.68
68,2005-04-07,1.72
69,2005-04-08,1.71
70,2005-04-11,1.69
71,2005-04-12,1.62
72,2005-04-13,1.61
73,2005-04-14,1.59
74,2005-04-15,1.48
75,2005-04-18,1.37
76,2005-04-19,1.3
77,2005-04-20,1.35
78,2005-04-21,1.44
79,2005-04-22,1.33
80,2005-04-25,1.33
81,2005-04-26,1.37
82,2005-04-27,1.36
83,2005-04-28,1.31
84,2005-04-29,1.31
85,2005-05-02,1.28
86,2005-05-03,1.3
87,2005-05-04,1.33
88,2005-05-05,1.38
89,2005-05-06,1.41
90,2005-05-09,1.38
91,2005-05-10,1.33
92,2005-05-11,1.34
93,2005-05-12,1.3
94,2005-05-13,1.29
95,2005-05-16,1.24
96,2005-05-17,1.24
97,2005-05-18,1.21
98,2005-05-19,1.24
99,2005-05-20,1.23
100,2005-05-23,1.1
101,2005-05-24,1.1
102,2005-05-25,1.13
103,2005-05-26,1.14
104,2005-05-27,1.11
105,2005-05-30,
106,2005-05-31,1.01
107,2005-06-01,0.94
108,2005-06-02,0.92
109,2005-06-03,0.97
110,2005-06-06,0.94
111,2005-06-07,0.9
112,2005-06-08,0.93
113,2005-06-09,0.99
114,2005-06-10,1.04
115,2005-06-13,1.06
116,2005-06-14,1.12
117,2005-06-15,1.12
118,2005-06-16,1.11
119,2005-06-17,1.1
120,2005-06-20,1.09
121,2005-06-21,1.04
122,2005-06-22,0.92
123,2005-06-23,0.89
124,2005-06-24,0.83
125,2005-06-27,0.75
126,2005-06-28,0.83
127,2005-06-29,0.86
128,2005-06-30,0.81
129,2005-07-01,0.89
130,2005-07-04,
131,2005-07-05,0.89
132,2005-07-06,0.89
133,2005-07-07,0.9
134,2005-07-08,0.94
135,2005-07-11,0.92
136,2005-07-12,0.94
137,2005-07-13,0.95
138,2005-07-14,0.96
139,2005-07-15,0.92
140,2005-07-18,0.92
141,2005-07-19,0.89
142,2005-07-20,0.87
143,2005-07-21,0.93
144,2005-07-22,0.85
145,2005-07-25,0.81
146,2005-07-26,0.81
147,2005-07-27,0.87
148,2005-07-28,0.79
149,2005-07-29,0.86
150,2005-08-01,0.84
151,2005-08-02,0.85
152,2005-08-03,0.84
153,2005-08-04,0.85
154,2005-08-05,0.88
155,2005-08-08,0.88
156,2005-08-09,0.89
157,2005-08-10,0.89
158,2005-08-11,0.81
159,2005-08-12,0.72
160,2005-08-15,0.73
161,2005-08-16,0.69
162,2005-08-17,0.76
163,2005-08-18,0.71
164,2005-08-19,0.69
165,2005-08-22,0.69
166,2005-08-23,0.67
167,2005-08-24,0.66
168,2005-08-25,0.64
169,2005-08-26,0.65
170,2005-08-29,0.66
171,2005-08-30,0.62
172,2005-08-31,0.5
173,2005-09-01,0.54
174,2005-09-02,0.57
175,2005-09-05,
176,2005-09-06,0.57
177,2005-09-07,0.66
178,2005-09-08,0.67
179,2005-09-09,0.65
180,2005-09-12,0.67
181,2005-09-13,0.67
182,2005-09-14,0.75
183,2005-09-15,0.77
184,2005-09-16,0.76
185,2005-09-19,0.67
186,2005-09-20,0.65
187,2005-09-21,0.78
188,2005-09-22,0.72
189,2005-09-23,0.77
190,2005-09-26,0.78
191,2005-09-27,0.81
192,2005-09-28,0.8
193,2005-09-29,0.75
194,2005-09-30,0.79
195,2005-10-03,0.78
196,2005-10-04,0.75
197,2005-10-05,0.78
198,2005-10-06,0.76
199,2005-10-07,0.72
200,2005-10-10,
201,2005-10-11,0.66
202,2005-10-12,0.75
203,2005-10-13,0.73
204,2005-10-14,0.7
205,2005-10-17,0.64
206,2005-10-18,0.64
207,2005-10-19,0.61
208,2005-10-20,0.61
209,2005-10-21,0.52
210,2005-10-24,0.53
211,2005-10-25,0.61
212,2005-10-26,0.7
213,2005-10-27,0.69
214,2005-10-28,0.65
215,2005-10-31,0.59
216,2005-11-01,0.62
217,2005-11-02,0.67
218,2005-11-03,0.71
219,2005-11-04,0.68
220,2005-11-07,0.69
221,2005-11-08,0.61
222,2005-11-09,0.65
223,2005-11-10,0.58
224,2005-11-11,
225,2005-11-14,0.59
226,2005-11-15,0.55
227,2005-11-16,0.49
228,2005-11-17,0.45
229,2005-11-18,0.49
230,2005-11-21,0.46
231,2005-11-22,0.5
232,2005-11-23,0.52
233,2005-11-24,
234,2005-11-25,0.48
235,2005-11-28,0.43
236,2005-11-29,0.5
237,2005-11-30,0.54
238,2005-12-01,0.55
239,2005-12-02,0.53
240,2005-12-05,0.53
241,2005-12-06,0.45
242,2005-12-07,0.49
243,2005-12-08,0.53
244,2005-12-09,0.6
245,2005-12-12,0.66
246,2005-12-13,0.63
247,2005-12-14,0.56
248,2005-12-15,0.54
249,2005-12-16,0.52
250,2005-12-19,0.49
251,2005-12-20,0.52
252,2005-12-21,0.51
253,2005-12-22,0.46
254,2005-12-23,0.39
255,2005-12-26,
256,2005-12-27,0.36
257,2005-12-28,0.43
258,2005-12-29,0.36
259,2005-12-30,0.31
260,2006-01-02,
261,2006-01-03,0.21
262,2006-01-04,0.17
263,2006-01-05,0.16
264,2006-01-06,0.16
265,2006-01-09,0.15
266,2006-01-10,0.14
267,2006-01-11,0.16
268,2006-01-12,0.1
269,2006-01-13,0.03
270,2006-01-16,
271,2006-01-17,-0.04
272,2006-01-18,-0.01
273,2006-01-19,0.03
274,2006-01-20,0.02
275,2006-01-23,-0.02
276,2006-01-24,0.0
277,2006-01-25,0.07
278,2006-01-26,0.08
279,2006-01-27,0.07
280,2006-01-30,0.06
281,2006-01-31,0.06
282,2006-02-01,0.1
283,2006-02-02,0.09
284,2006-02-03,0.06
285,2006-02-06,0.07
286,2006-02-07,0.08
287,2006-02-08,0.06
288,2006-02-09,0.02
289,2006-02-10,0.06
290,2006-02-13,0.03
291,2006-02-14,0.07
292,2006-02-15,0.06
293,2006-02-16,0.04
294,2006-02-17,0.0
295,2006-02-20,
296,2006-02-21,0.01
297,2006-02-22,-0.04
298,2006-02-23,-0.03
299,2006-02-24,-0.02
300,2006-02-27,-0.03
301,2006-02-28,-0.07
302,2006-03-01,-0.01
303,2006-03-02,0.02
304,2006-03-03,0.06
305,2006-03-06,0.14
306,2006-03-07,0.14
307,2006-03-08,0.15
308,2006-03-09,0.14
309,2006-03-10,0.14
310,2006-03-13,0.16
311,2006-03-14,0.12
312,2006-03-15,0.1
313,2006-03-16,0.03
314,2006-03-17,0.04
315,2006-03-20,0.0
316,2006-03-21,0.02
317,2006-03-22,0.01
318,2006-03-23,0.06
319,2006-03-24,0.02
320,2006-03-27,0.07
321,2006-03-28,0.14
322,2006-03-29,0.18
323,2006-03-30,0.25
324,2006-03-31,0.23
325,2006-04-03,0.21
326,2006-04-04,0.19
327,2006-04-05,0.17
328,2006-04-06,0.22
329,2006-04-07,0.28
330,2006-04-10,0.28
331,2006-04-11,0.23
332,2006-04-12,0.28
333,2006-04-13,0.35
334,2006-04-14,
335,2006-04-17,0.29
336,2006-04-18,0.27
337,2006-04-19,0.31
338,2006-04-20,0.31
339,2006-04-21,0.26
340,2006-04-24,0.24
341,2006-04-25,0.28
342,2006-04-26,0.33
343,2006-04-27,0.31
344,2006-04-28,0.3
345,2006-05-01,0.32
346,2006-05-02,0.31
347,2006-05-03,0.33
348,2006-05-04,0.36
349,2006-05-05,0.29
350,2006-05-08,0.25
351,2006-05-09,0.25
352,2006-05-10,0.25
353,2006-05-11,0.32
354,2006-05-12,0.34
355,2006-05-15,0.29
356,2006-05-16,0.27
357,2006-05-17,0.33
358,2006-05-18,0.25
359,2006-05-19,0.23
360,2006-05-22,0.21
361,2006-05-23,0.23
362,2006-05-24,0.21
363,2006-05-25,0.25
364,2006-05-26,0.22
365,2006-05-29,
366,2006-05-30,0.25
367,2006-05-31,0.26
368,2006-06-01,0.28
369,2006-06-02,0.19
370,2006-06-05,0.17
371,2006-06-06,0.15
372,2006-06-07,0.16
373,2006-06-08,0.13
374,2006-06-09,0.1
375,2006-06-12,0.06
376,2006-06-13,0.08
377,2006-06-14,0.15
378,2006-06-15,0.25
379,2006-06-16,0.25
380,2006-06-19,0.21
381,2006-06-20,0.23
382,2006-06-21,0.24
383,2006-06-22,0.28
384,2006-06-23,0.25
385,2006-06-26,0.22
386,2006-06-27,0.16
387,2006-06-28,0.24
388,2006-06-29,0.21
389,2006-06-30,0.14
390,2006-07-03,0.07
391,2006-07-04,
392,2006-07-05,0.22
393,2006-07-06,0.19
394,2006-07-07,0.12
395,2006-07-10,0.07
396,2006-07-11,0.05
