,Date,T5YIE
0,2005-01-03,2.62
1,2005-01-04,2.62
2,2005-01-05,2.6
3,2005-01-06,2.59
4,2005-01-07,2.57
5,2005-01-10,2.62
6,2005-01-11,2.6
7,2005-01-12,2.6
8,2005-01-13,2.6
9,2005-01-14,2.58
10,2005-01-17,
11,2005-01-18,2.57
12,2005-01-19,2.56
13,2005-01-20,2.52
14,2005-01-21,2.51
15,2005-01-24,2.52
16,2005-01-25,2.55
17,2005-01-26,2.58
18,2005-01-27,2.59
19,2005-01-28,2.58
20,2005-01-31,2.58
21,2005-02-01,2.56
22,2005-02-02,2.55
23,2005-02-03,2.56
24,2005-02-04,2.57
25,2005-02-07,2.56
26,2005-02-08,2.61
27,2005-02-09,2.63
28,2005-02-10,2.66
29,2005-02-11,2.7
30,2005-02-14,2.72
31,2005-02-15,2.65
32,2005-02-16,2.68
33,2005-02-17,2.7
34,2005-02-18,2.78
35,2005-02-21,
36,2005-02-22,2.81
37,2005-02-23,2.81
38,2005-02-24,2.81
39,2005-02-25,2.8
40,2005-02-28,2.82
41,2005-03-01,2.85
42,2005-03-02,2.86
43,2005-03-03,2.87
44,2005-03-04,2.85
45,2005-03-07,2.86
46,2005-03-08,2.89
47,2005-03-09,2.93
48,2005-03-10,2.88
49,2005-03-11,2.88
50,2005-03-14,2.86
51,2005-03-15,2.88
52,2005-03-16,2.89
53,2005-03-17,2.91
54,2005-03-18,2.92
55,2005-03-21,2.9
56,2005-03-22,2.94
57,2005-03-23,2.86
58,2005-03-24,2.85
59,2005-03-25,
60,2005-03-28,2.85
61,2005-03-29,2.85
62,2005-03-30,2.84
63,2005-03-31,2.87
64,2005-04-01,2.85
65,2005-04-04,2.85
66,2005-04-05,2.83
67,2005-04-06,2.79
68,2005-04-07,2.77
69,2005-04-08,2.8
70,2005-04-11,2.78
71,2005-04-12,2.76
72,2005-04-13,2.72
73,2005-04-14,2.73
74,2005-04-15,2.7
75,2005-04-18,2.71
76,2005-04-19,2.72
77,2005-04-20,2.75
78,2005-04-21,2.8
79,2005-04-22,2.81
80,2005-04-25,2.79
81,2005-04-26,2.79
82,2005-04-27,2.75
83,2005-04-28,2.74
84,2005-04-29,2.73
85,2005-05-02,2.7
86,2005-05-03,2.66
87,2005-05-04,2.66
88,2005-05-05,2.64
89,2005-05-06,2.68
90,2005-05-09,2.71
91,2005-05-10,2.69
92,2005-05-11,2.67
93,2005-05-12,2.6
94,2005-05-13,2.53
95,2005-05-16,2.53
96,2005-05-17,2.54
97,2005-05-18,2.49
98,2005-05-19,2.5
99,2005-05-20,2.55
100,2005-05-23,2.5
101,2005-05-24,2.48
102,2005-05-25,2.5
103,2005-05-26,2.47
104,2005-05-27,2.5
105,2005-05-30,
106,2005-05-31,2.47
107,2005-06-01,2.44
108,2005-06-02,2.42
109,2005-06-03,2.42
110,2005-06-06,2.43
111,2005-06-07,2.39
112,2005-06-08,2.39
113,2005-06-09,2.39
114,2005-06-10,2.37
115,2005-06-13,2.38
116,2005-06-14,2.39
117,2005-06-15,2.38
118,2005-06-16,2.39
119,2005-06-17,2.43
120,2005-06-20,2.42
121,2005-06-21,2.4
122,2005-06-22,2.32
123,2005-06-23,2.34
124,2005-06-24,2.32
125,2005-06-27,2.35
126,2005-06-28,2.36
127,2005-06-29,2.35
128,2005-06-30,2.31
129,2005-07-01,2.34
130,2005-07-04,
131,2005-07-05,2.35
132,2005-07-06,2.34
133,2005-07-07,2.33
134,2005-07-08,2.33
135,2005-07-11,2.36
136,2005-07-12,2.37
137,2005-07-13,2.35
138,2005-07-14,2.27
139,2005-07-15,2.23
140,2005-07-18,2.22
141,2005-07-19,2.25
142,2005-07-20,2.27
143,2005-07-21,2.32
144,2005-07-22,2.32
145,2005-07-25,2.3
146,2005-07-26,2.3
147,2005-07-27,2.31
148,2005-07-28,2.31
149,2005-07-29,2.32
150,2005-08-01,2.37
151,2005-08-02,2.37
152,2005-08-03,2.38
153,2005-08-04,2.38
154,2005-08-05,2.41
155,2005-08-08,2.43
156,2005-08-09,2.39
157,2005-08-10,2.39
158,2005-08-11,2.38
159,2005-08-12,2.38
160,2005-08-15,2.41
161,2005-08-16,2.42
162,2005-08-17,2.42
163,2005-08-18,2.4
164,2005-08-19,2.42
165,2005-08-22,2.41
166,2005-08-23,2.42
167,2005-08-24,2.42
168,2005-08-25,2.44
169,2005-08-26,2.44
170,2005-08-29,2.45
171,2005-08-30,2.51
172,2005-08-31,2.44
173,2005-09-01,2.47
174,2005-09-02,2.53
175,2005-09-05,
176,2005-09-06,2.49
177,2005-09-07,2.5
178,2005-09-08,2.56
179,2005-09-09,2.62
180,2005-09-12,2.61
181,2005-09-13,2.59
182,2005-09-14,2.6
183,2005-09-15,2.62
184,2005-09-16,2.65
185,2005-09-19,2.67
186,2005-09-20,2.63
187,2005-09-21,2.65
188,2005-09-22,2.63
189,2005-09-23,2.64
190,2005-09-26,2.63
191,2005-09-27,2.66
192,2005-09-28,2.67
193,2005-09-29,2.69
194,2005-09-30,2.72
195,2005-10-03,2.71
196,2005-10-04,2.68
197,2005-10-05,2.66
198,2005-10-06,2.59
199,2005-10-07,2.59
200,2005-10-10,
201,2005-10-11,2.6
202,2005-10-12,2.61
203,2005-10-13,2.59
204,2005-10-14,2.63
205,2005-10-17,2.68
206,2005-10-18,2.68
207,2005-10-19,2.66
208,2005-10-20,2.65
